,0
DEBUG_INFO,225771060.33371216
DEBUG_INFO_SPLIT,127958655.21055806
DEBUG_INFO_REDUCED,114402207.66154228
UBSAN_SANITIZE_ALL,46340595.91308847
GCOV_PROFILE_ALL,24128058.60764417
PLX_HERMES,21679345.511912018
RANDOMIZE_BASE,19784103.669396125
X86_NEED_RELOCS,19784103.669391107
RT2800_LIB,19389744.74872227
NETFILTER_SYNPROXY,18336344.136363886
TAP,18118407.35094628
TMD_HERMES,17101283.23273473
MLXSW_SWITCHIB,16660717.023137627
MLXSW_SPECTRUM,16362720.32867969
MACVTAP,15657855.109022066
RT2800USB,14924944.634778367
PCMCIA_SPECTRUM,14755741.24920554
IP_NF_TARGET_SYNPROXY,14595991.222648004
INFINIBAND_CXGB4,13829803.169384494
P54_SPI,13783493.210911376
LIBERTAS_USB,13731242.965494974
USB_NET_CDC_SUBSET,13667454.166556327
RTL8723AE,13492152.72651243
RT2500USB,13280371.780328745
SND_OPL3_LIB,12739471.114058914
ISCSI_TARGET_CXGB4,12733931.246663926
RT2800USB_RT35XX,12367405.072883394
HERMES,11980942.960400121
ATH9K_DEBUGFS,11970740.987414505
LIBERTAS_SPI,11949880.60604562
WLCORE_SDIO,11800883.046979804
INFINIBAND_OCRDMA,11663440.737487167
RTL8180,11559601.299789546
FCOE_FNIC,11551519.549526436
ATH_COMMON,11510515.721199661
ATH9K_COMMON_DEBUG,11415305.24078001
RT2X00_LIB_FIRMWARE,11408459.033057693
IWL3945,11362656.617989996
WIL6210,11279169.792744514
VIDEO_GO7007_USB_S2250_BOARD,11189579.521669228
KASAN,11171587.970110787
KASAN_OUTLINE,11171587.970099917
RTL8723BE,11106239.07003558
LIBERTAS_SDIO,11029851.176078323
LIBIPW,10945503.934305126
IWLWIFI_PCIE_RTPM,10784694.663075594
MLXSW_SPECTRUM_DCB,10751042.27559298
ATH10K_AHB,10746391.078055924
PCI_HERMES,10663077.090793358
DWMAC_STI,10595801.087060137
NFS_V4_1_MIGRATION,10583158.567584481
RT2400PCI,10571657.161422502
USB_NET_CDC_SUBSET_ENABLE,10557257.250112759
BRIDGE_EBT_IP6,10479289.969829164
XFS_DEBUG,10455458.528060762
RTL8723_COMMON,10399265.749098966
IMA_LOAD_X509,10373306.10703492
RT2500PCI,10152155.418657262
VIDEO_COBALT,10124622.341094904
IP6_NF_NAT,10114510.774329018
MACB_PCI,10057700.46276741
BRIDGE_EBT_ARP,9945958.016222129
CW1200_WLAN_SDIO,9906319.816525893
TCM_QLA2XXX_DEBUG,9899389.272635827
RT61PCI,9786479.661531327
IP_VS_FTP,9754735.346941836
NF_NAT_IPV6,9727097.31261696
MLXSW_I2C,9674892.913260354
NF_CONNTRACK_IPV6,9660345.411984995
IPVLAN,9648358.135418268
IP6_NF_MATCH_FRAG,9628046.41567735
NFS_FS,9559994.60469326
GIGASET_M105,9478205.64690987
RT2800PCI,9473169.84020165
RT2800_LIB_MMIO,9473169.84020165
ZD1211RW,9469336.756332694
SND_SOC_RT298,9342159.404579714
DVB_USB_PCTV452E,9199251.011299558
MLXSW_MINIMAL,9075910.717666881
SND_SOC_WM8804,9026920.992422624
MLX5_EN_IPSEC,8969246.460668297
VIDEO_XILINX,8954633.717133578
SGI_GRU_DEBUG,8906836.738920884
FCOE,8891591.012938656
SND_HDA_CODEC_CMEDIA,8875173.719561517
QEDI,8808069.45138566
DRM_I915_GVT_KVMGT,8802987.275959333
RTLWIFI_PCI,8757416.346920723
TTPCI_EEPROM,8571668.309016995
NETFILTER_XT_MATCH_CONNLABEL,8460351.589282963
VIDEO_MUX,8416966.387823187
PHYLIB,8415242.470409524
ATH_REG_DYNAMIC_USER_CERT_TESTING,8392733.89973513
ATH10K_PCI,8278025.531638113
ATH5K_DEBUG,8262177.006139422
BRCMUTIL,8245743.554212085
