count,mean,std,min,25%,50%,75%,max,criterion,max_depth,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,random_state,max_leaf_nodes,min_impurity_decrease,min_impurity_split,n_estimators,n_jobs,random_id,train_size,nb_yes
461855.0,55.53655610608132,82.92197452350055,7.341281493503079e-05,14.718696715193325,32.93311689825105,62.92021308784284,2280.410546525306,mse,23,2,1,0.0,auto,,,1e-07,0,10,-1,0.013869413180221724,100.0,1.0
441050.0,16.481067659865968,22.435467306912184,0.00026013182101093294,4.889173266083263,10.656202608807481,19.76723396728729,920.0962400176325,mse,23,2,1,0.0,auto,None,None,1e-07,0,10,-1,0.013869413180221724,4261.0,1.0
420245.0,13.906896869712893,18.494751811659786,6.901252630686187e-05,4.348811315582212,9.39758353570376,17.138073406219263,1062.1654913389755,mse,23,2,1,0.0,auto,None,None,1e-07,0,10,-1,0.013869413180221724,8422.0,1.0
399440.0,12.646947735002998,14.787734827330969,8.354710367975795e-05,4.123078503025903,8.907081884455945,16.1507860098146,490.16872744641205,mse,23,2,1,0.0,auto,None,None,1e-07,0,10,-1,0.013869413180221724,12583.0,1.0
378635.0,11.906167410324779,13.80617357940306,4.58594111013971e-05,3.9298222254214323,8.489881657387079,15.340194082804732,453.6762093648867,mse,23,2,1,0.0,auto,None,None,1e-07,0,10,-1,0.013869413180221724,16744.0,1.0
357830.0,11.39001673374815,12.582554152695327,1.2426740915604052e-05,3.8470517379229516,8.286115948753284,14.90316658587802,919.9007538264342,mse,23,2,1,0.0,auto,None,None,1e-07,0,10,-1,0.013869413180221724,20905.0,1.0
337025.0,11.019507822629851,11.74402188311092,4.092180456973792e-05,3.760616351954598,8.091126807897883,14.520804812489255,436.3131795198714,mse,23,2,1,0.0,auto,None,None,1e-07,0,10,-1,0.013869413180221724,25066.0,1.0
316220.0,10.66094133217288,10.982104644946169,3.3319748024156977e-05,3.6539440613498595,7.893656829919985,14.151857433455422,294.7686710461484,mse,23,2,1,0.0,auto,None,None,1e-07,0,10,-1,0.013869413180221724,29227.0,1.0
295415.0,10.531522514311131,10.91654707105896,0.00011088221587437437,3.602616558652473,7.795059407324663,14.00988388929269,328.7597628141524,mse,23,2,1,0.0,auto,None,None,1e-07,0,10,-1,0.013869413180221724,33388.0,1.0
274610.0,10.230295222215373,10.316416192851829,6.199207807180504e-05,3.5408963644865157,7.645484362642685,13.696241152663498,301.5232060955686,mse,23,2,1,0.0,auto,None,None,1e-07,0,10,-1,0.013869413180221724,37549.0,1.0
253805.0,10.135867946263325,10.336445022132361,5.933874521173452e-05,3.5137465996643393,7.559664159167932,13.558372013676085,535.5395495248433,mse,23,2,1,0.0,auto,None,None,1e-07,0,10,-1,0.013869413180221724,41710.0,1.0
233000.0,9.965127459104092,10.12924285123044,7.130173765105571e-06,3.469177528714202,7.472202236962118,13.354074299737894,298.7409271626037,mse,23,2,1,0.0,auto,None,None,1e-07,0,10,-1,0.013869413180221724,45871.0,1.0
212195.0,9.801872922777035,10.020408673156359,1.442773267724941e-06,3.3836818366123436,7.332691485613853,13.16077525590374,570.4139477931382,mse,23,2,1,0.0,auto,None,None,1e-07,0,10,-1,0.013869413180221724,50032.0,1.0
191390.0,9.708337354896921,9.639040997345306,0.0002727110591482959,3.389539801600231,7.274357984265226,13.09374877100733,267.5083902836525,mse,23,2,1,0.0,auto,None,None,1e-07,0,10,-1,0.013869413180221724,54193.0,1.0
170585.0,9.545704867123247,9.422850648654212,0.0002484957988493268,3.3358859190838133,7.197431565378736,12.907294317590706,258.5802566418681,mse,23,2,1,0.0,auto,None,None,1e-07,0,10,-1,0.013869413180221724,58354.0,1.0
149780.0,9.498505464200184,9.481659602947833,4.1794542732258996e-05,3.312359457763651,7.180312980200473,12.824093822154278,347.4300539015924,mse,23,2,1,0.0,auto,None,None,1e-07,0,10,-1,0.013869413180221724,62515.0,1.0
128975.0,9.411031321282543,9.216164093425464,0.0002446982240057501,3.287601080526034,7.122756827253725,12.73169106262322,220.30834670213318,mse,23,2,1,0.0,auto,None,None,1e-07,0,10,-1,0.013869413180221724,66676.0,1.0
108170.0,9.271589086562196,8.964200229907002,0.0004698256165294496,3.259605560816493,7.008403810387472,12.548902959214194,156.01837354336092,mse,23,2,1,0.0,auto,None,None,1e-07,0,10,-1,0.013869413180221724,70837.0,1.0
87365.0,9.218668253491453,8.90611040568577,0.00041179219342916224,3.2582149456648355,6.9894474749135345,12.581112460974667,398.63904537010575,mse,23,2,1,0.0,auto,None,None,1e-07,0,10,-1,0.013869413180221724,74998.0,1.0
66560.0,9.140923020953954,8.873353984758461,8.996972513161386e-06,3.21182996860062,6.9183629284838455,12.435832347815387,225.63236252093958,mse,23,2,1,0.0,auto,None,None,1e-07,0,10,-1,0.013869413180221724,79159.0,1.0
461855.0,46.469503863128224,50.427427449700204,0.0004983313820462131,15.103480123302303,32.9489598342677,59.762610642759284,988.111092373887,mse,23,2,4,0.0,auto,None,None,1e-07,0,10,-1,0.07717514049096286,100.0,1.0
441050.0,15.913945073973919,20.501512509999454,0.00015668863092390152,4.814807825134053,10.527889835238948,19.495132107472646,697.1355534284098,mse,23,2,4,0.0,auto,None,None,1e-07,0,10,-1,0.07717514049096286,4261.0,1.0
420245.0,13.379678162841653,15.713658729067163,3.5400101462611095e-06,4.315653545229156,9.342130690943211,17.04491334522809,394.8974701276331,mse,23,2,4,0.0,auto,None,None,1e-07,0,10,-1,0.07717514049096286,8422.0,1.0
