count,mean,std,min,25%,50%,75%,max,criterion,max_depth,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,random_state,max_leaf_nodes,min_impurity_decrease,min_impurity_split,n_estimators,n_jobs,random_id,train_size,nb_yes
412355.0,16.40441000803341,20.829612460429665,2.616813981066879e-05,4.542944059593916,10.041312428844288,19.4441310771279,507.1491773986559,mse,25,2,1,0.0,2000,,,1e-07,0,100,-1,0.7597368732638352,10000.0,1.0
387355.0,14.948213633262146,18.980809189681505,2.64847629771201e-05,4.245947785551786,9.316395180619656,17.85512613655347,344.5060200922052,mse,25,2,1,0.0,2000,None,None,1e-07,0,100,-1,0.7597368732638352,15000.0,1.0
362355.0,13.787775645169216,16.970467633478904,0.00014871680788560167,4.023580248938428,8.838999925315123,16.689877891382928,301.2418352995393,mse,25,2,1,0.0,2000,None,None,1e-07,0,100,-1,0.7597368732638352,20000.0,1.0
