count,mean,std,min,25%,50%,75%,max,criterion,max_depth,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,random_state,max_leaf_nodes,min_impurity_decrease,min_impurity_split,n_estimators,n_jobs,random_id,train_size,nb_yes,algo
87355.0,8.392592732254082,7.245654825494904,7.410421670259372e-05,3.117615346971226,6.674716862761895,11.691840968281118,108.14057648842127,mse,17,6,1,0.0,auto,None,None,1e-07,0,48,-1,0.32031964758663645,75000,1,rf
87355.0,8.364389770080292,7.294670395792365,0.0002083742023594668,3.091520803756622,6.651407936175972,11.641340644406311,174.3980244989109,mse,17,8,1,0.0,auto,None,None,1e-07,0,48,-1,0.37947560351951104,75000,1,rf
87355.0,8.22015960290048,7.28844255344929,7.317815114883092e-05,3.030603907808035,6.497803904599811,11.421350413756196,185.47443054435251,mse,18,2,1,0.0,auto,None,None,1e-07,0,48,-1,0.6840508265976372,75000,1,rf
87355.0,8.202984073663922,7.114375483421761,3.751558027153291e-05,3.043821916458338,6.493501280236328,11.409372170941335,134.68906367558796,mse,18,4,1,0.0,auto,None,None,1e-07,0,48,-1,0.45229499483063174,75000,1,rf
87355.0,8.16383763794334,7.08857369883922,9.818733673619988e-05,2.9737088288343037,6.46328100852003,11.392923591827333,123.09173458261166,mse,18,6,1,0.0,auto,None,None,1e-07,0,48,-1,0.9321446646589685,75000,1,rf
87355.0,8.233249015541608,7.228069325495255,0.0003900347261817246,3.033830276574742,6.512233656274563,11.428445553881211,157.4638321277606,mse,18,8,1,0.0,auto,None,None,1e-07,0,48,-1,0.32448702659019535,75000,1,rf
87355.0,8.13549900703106,7.1861730021015955,1.044810466206639e-05,2.9557251723069506,6.414864120481098,11.322399387298693,156.13608667590108,mse,19,2,1,0.0,auto,None,None,1e-07,0,48,-1,0.1548363373069236,75000,1,rf
87355.0,8.144808900563186,7.274968510648851,7.331836630208074e-05,2.980008183954756,6.406041221965852,11.314002487876646,182.51646201205438,mse,19,4,1,0.0,auto,None,None,1e-07,0,48,-1,0.20924625728272872,75000,1,rf
87355.0,8.134654589794554,7.158985964615056,1.1831502187489476e-05,2.9909734238825285,6.415831036859715,11.287098429262699,152.33327479385923,mse,19,6,1,0.0,auto,None,None,1e-07,0,48,-1,0.7684537287917863,75000,1,rf
87355.0,8.127189691083807,7.243404219905975,0.00011695590162536255,2.9482222067570056,6.377147577051311,11.313103564500885,180.36567979112252,mse,19,8,1,0.0,auto,None,None,1e-07,0,48,-1,0.11176894159226824,75000,1,rf
87355.0,7.999441872719163,7.06484641579054,0.00013406935779299356,2.915004808004875,6.29995943797928,11.068796343672748,117.20993017198649,mse,20,2,1,0.0,auto,None,None,1e-07,0,48,-1,0.9285427374688567,75000,1,rf
87355.0,8.048737260810638,7.131917366343593,6.578136358555256e-06,2.921975404985221,6.326825483904838,11.159877643563952,128.4369059220792,mse,20,4,1,0.0,auto,None,None,1e-07,0,48,-1,0.43282363043152805,75000,1,rf
87355.0,8.037557055819208,7.154105283389109,0.0005080239785330766,2.9140260056954688,6.297173105729026,11.142256617103538,140.01240271308686,mse,20,6,1,0.0,auto,None,None,1e-07,0,48,-1,0.9024135929273661,75000,1,rf
87355.0,8.034862584657562,7.170452628823636,4.063109466583245e-05,2.928764698123219,6.294521972599528,11.13233200184279,184.9427840643558,mse,20,8,1,0.0,auto,None,None,1e-07,0,48,-1,0.010910744192709876,75000,1,rf
87355.0,7.99447712870395,7.008557427997381,0.00012479967210591656,2.9208038820962177,6.3060695470319175,11.115021680165583,127.39338362289445,mse,21,2,1,0.0,auto,None,None,1e-07,0,48,-1,0.8170633637774041,75000,1,rf
87355.0,8.011355355550576,7.108735949534452,5.1529018870828e-05,2.913885495013994,6.273825245572586,11.104420595630973,157.58531012925692,mse,21,4,1,0.0,auto,None,None,1e-07,0,48,-1,0.08346985676698382,75000,1,rf
87355.0,8.008019008412397,7.171642867834214,2.1258960338462145e-06,2.8846870118869363,6.258048791347501,11.115618661705057,147.705728041788,mse,21,6,1,0.0,auto,None,None,1e-07,0,48,-1,0.860804685128412,75000,1,rf
87355.0,8.040188716559662,7.10515086098219,2.716971750355919e-05,2.909027602368668,6.302950281889993,11.200169551777023,149.17654195073862,mse,21,8,1,0.0,auto,None,None,1e-07,0,48,-1,0.8573895888679501,75000,1,rf
87355.0,8.000980518126122,7.082500586340565,0.00010415747761434536,2.905466597495618,6.2965866703038245,11.132150757808226,165.479222128407,mse,22,2,1,0.0,auto,None,None,1e-07,0,48,-1,0.8651521808504051,75000,1,rf
87355.0,7.9894916217818635,7.069804973832414,1.9927665708370753e-05,2.894799916585323,6.258590106550563,11.119196228778023,118.81529313526771,mse,22,4,1,0.0,auto,None,None,1e-07,0,48,-1,0.0035399627693175617,75000,1,rf
87355.0,7.985250970948806,7.081601519079388,6.4715577704358255e-06,2.895497036516777,6.257422552726681,11.094129452344099,148.9176110191645,mse,22,6,1,0.0,auto,None,None,1e-07,0,48,-1,0.058722762057449196,75000,1,rf
87355.0,8.044664808682722,7.218064373910496,0.00012157774489335123,2.888244795122585,6.285930460745602,11.161206409900561,143.00567002054848,mse,22,8,1,0.0,auto,None,None,1e-07,0,48,-1,0.3088162029734032,75000,1,rf
87355.0,7.994286539026131,7.082921985941571,4.198797836310488e-06,2.889456803918959,6.293854406568197,11.106216301384633,124.91842235641457,mse,23,2,1,0.0,auto,None,None,1e-07,0,48,-1,0.35062453101631275,75000,1,rf
87355.0,7.937817823249093,7.037008171277529,0.00022606211284176555,2.854310449985687,6.245722587073635,11.060235922268724,146.476562940778,mse,23,4,1,0.0,auto,None,None,1e-07,0,48,-1,0.3090446881128156,75000,1,rf
87355.0,7.98639667821445,7.098456159850366,0.00011278136405391957,2.904531306971374,6.277450319314854,11.075353944985252,150.52814807255274,mse,23,6,1,0.0,auto,None,None,1e-07,0,48,-1,0.25436265616259424,75000,1,rf
87355.0,7.98131907975168,7.113635191780377,4.819404132849524e-05,2.877756062204792,6.258080777991467,11.078001319778487,147.1022207075185,mse,23,8,1,0.0,auto,None,None,1e-07,0,48,-1,0.291476289919014,75000,1,rf
87355.0,7.955059255752173,7.108372263413967,0.00013086125857845823,2.853967577691823,6.2215866965739695,11.083615288125396,177.37041570656598,mse,24,2,1,0.0,auto,None,None,1e-07,0,48,-1,0.2705754350222749,75000,1,rf
87355.0,7.9742202551300485,6.9830128634384705,0.00011183334769357781,2.9089736462054194,6.2878296689258555,11.10130351597529,103.28734905941874,mse,24,4,1,0.0,auto,None,None,1e-07,0,48,-1,0.6677411027485355,75000,1,rf
87355.0,7.9870024125477315,7.0440955336595,6.899404849069532e-05,2.8785551944570305,6.290329076202421,11.081693117427179,139.34880803463474,mse,24,6,1,0.0,auto,None,None,1e-07,0,48,-1,0.7084182138527089,75000,1,rf
87355.0,7.99622832163852,7.09728149090517,7.298939357496036e-05,2.8998516226705284,6.263813651546238,11.106793918103618,174.79841302658642,mse,24,8,1,0.0,auto,None,None,1e-07,0,48,-1,0.36933207631349907,75000,1,rf
87355.0,7.981315409554545,7.063861234791644,3.968309008362049e-05,2.898654125019843,6.250425097566553,11.148048893134488,155.95649874691046,mse,25,2,1,0.0,auto,None,None,1e-07,0,48,-1,0.3250370836955031,75000,1,rf
87355.0,8.010698437838926,7.166822675879694,1.4419984230404419e-05,2.8936850797346416,6.28324903742743,11.147301339416792,164.23572833521922,mse,25,4,1,0.0,auto,None,None,1e-07,0,48,-1,0.4009545162143817,75000,1,rf
87355.0,7.975481618744993,7.033178441997092,0.0003012103658816734,2.8836034759982185,6.244489355872932,11.122324504325046,127.35080478881231,mse,25,6,1,0.0,auto,None,None,1e-07,0,48,-1,0.08020930305811214,75000,1,rf
87355.0,7.989059447795634,7.101548544922592,2.5243364800161062e-05,2.8724597335997033,6.2769441849790955,11.104728528933737,142.2720605491905,mse,25,8,1,0.0,auto,None,None,1e-07,0,48,-1,0.026773578692296796,75000,1,rf
