count,mean,std,min,25%,50%,75%,max,criterion,max_depth,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,random_state,max_leaf_nodes,min_impurity_decrease,min_impurity_split,n_estimators,n_jobs,random_id,train_size,nb_yes,algo
87355.0,9.800254048955248,8.726900873010683,0.0003541243936634822,3.6675238157526353,7.754169971206894,13.496525139200777,173.58246299648812,mse,14,2,1,0.0,auto,,,1e-07,0,48,-1,0.15223634510902662,75000,1,rf
87355.0,9.798227983530358,8.683525506892561,0.0002615206827775518,3.663287130097076,7.7260781831154475,13.539903977191038,160.8194403826801,mse,14,4,1,0.0,auto,None,None,1e-07,0,48,-1,0.490877815826278,75000,1,rf
87355.0,9.793214442464869,8.800151813894708,8.365142630143418e-05,3.699458177908359,7.746892972690879,13.438963330397778,213.38479174865154,mse,14,6,1,0.0,auto,None,None,1e-07,0,48,-1,0.246845650524826,75000,1,rf
87355.0,9.776166350305912,8.748091905217807,0.0004473606361037258,3.6668485845985486,7.663046762845601,13.48507393383598,169.20303336026788,mse,14,8,1,0.0,auto,None,None,1e-07,0,48,-1,0.38811665806390805,75000,1,rf
87355.0,9.404661855364516,8.494435507915435,0.0005195337435695364,3.4720788940107585,7.322410780392552,12.948859657793559,153.11293104028042,mse,15,2,1,0.0,auto,None,None,1e-07,0,48,-1,0.12252835579518362,75000,1,rf
87355.0,9.40467374162744,8.63049613936537,0.00011218533883519143,3.4322889967717694,7.328155285909944,12.976943638167004,160.70407180491802,mse,15,4,1,0.0,auto,None,None,1e-07,0,48,-1,0.9507207056316869,75000,1,rf
87355.0,9.484504826868683,8.658130569270059,0.00018985232567222826,3.50331712074407,7.391810666756965,13.03061329652241,185.6296513876152,mse,15,6,1,0.0,auto,None,None,1e-07,0,48,-1,0.8114661286726673,75000,1,rf
87355.0,9.450904934201667,8.722693368389733,0.00018931686378184523,3.4650351662367482,7.350953709368537,13.024608809338822,201.35711404186463,mse,15,8,1,0.0,auto,None,None,1e-07,0,48,-1,0.41399722816870377,75000,1,rf
87355.0,9.119021896931127,8.485536795201863,0.00038023291816428103,3.3276367932447855,7.042661277099829,12.429531326523994,160.41133550473464,mse,16,2,1,0.0,auto,None,None,1e-07,0,48,-1,0.6232873127181504,75000,1,rf
87355.0,9.123956542650028,8.363771418316864,1.690585186420259e-05,3.3046812119681186,7.057684255714014,12.563885783638064,186.2245382484031,mse,16,4,1,0.0,auto,None,None,1e-07,0,48,-1,0.8498280480708879,75000,1,rf
87355.0,9.198402712542315,8.616264628489544,0.00022482543934914114,3.3050242752107852,7.079871791042288,12.577030266039682,156.15006306523324,mse,16,6,1,0.0,auto,None,None,1e-07,0,48,-1,0.8821574816954327,75000,1,rf
87355.0,9.190432097345782,8.537179331921472,2.9067578529959847e-05,3.3281156430734207,7.105500917023972,12.605131035603172,186.48301168850662,mse,16,8,1,0.0,auto,None,None,1e-07,0,48,-1,0.2746036858785921,75000,1,rf
87355.0,8.966815107309763,8.675819516185015,6.937480064420902e-05,3.1803951333915137,6.8576137174976415,12.165128641751133,211.9156859559259,mse,17,2,1,0.0,auto,None,None,1e-07,0,48,-1,0.1562401182671137,75000,1,rf
87355.0,8.996326217464256,8.480334085897061,7.277263761791161e-05,3.224794163467392,6.877890979511256,12.266267564272859,163.8961108432984,mse,17,4,1,0.0,auto,None,None,1e-07,0,48,-1,0.6691805820393033,75000,1,rf
87355.0,8.899221913539375,8.331129556228543,0.0001913882443913153,3.2002749228030845,6.835869131942481,12.187753743819849,145.9268217829176,mse,17,6,1,0.0,auto,None,None,1e-07,0,48,-1,0.7957142638136097,75000,1,rf
87355.0,8.98315355919728,8.453480585605046,0.0005919502886895649,3.2060751935139105,6.888576338006128,12.263085412755975,155.81808541249382,mse,17,8,1,0.0,auto,None,None,1e-07,0,48,-1,0.7591574575461271,75000,1,rf
87355.0,8.793833283473626,8.490841624226315,3.844295667820916e-05,3.132555949853759,6.6912792403890755,11.920743224521885,200.34375339542896,mse,18,2,1,0.0,auto,None,None,1e-07,0,48,-1,0.9470075919308265,75000,1,rf
87355.0,8.812031114643082,8.193876108752198,0.0006027265626148755,3.157813797875217,6.777931812430363,12.025683239047613,166.54610269463217,mse,18,4,1,0.0,auto,None,None,1e-07,0,48,-1,0.5208407203579466,75000,1,rf
87355.0,8.838452559004098,8.343580357662711,8.146018082470154e-05,3.1643763530846414,6.782489845276069,12.05832865089829,187.87041813593456,mse,18,6,1,0.0,auto,None,None,1e-07,0,48,-1,0.6176184092207482,75000,1,rf
87355.0,8.848188727357519,8.307617150124495,0.00013085890683849828,3.174202120556773,6.800886795305722,12.070261127712891,153.79608515508815,mse,18,8,1,0.0,auto,None,None,1e-07,0,48,-1,0.42251068658797764,75000,1,rf
87355.0,8.793138724298721,8.306676889413508,6.438759287465624e-06,3.095299557504852,6.716450167587992,12.006511398989945,164.6170607830969,mse,19,2,1,0.0,auto,None,None,1e-07,0,48,-1,0.47514719186989307,75000,1,rf
87355.0,8.772889908028061,8.43574975564457,0.00016231875277834904,3.112441694235184,6.71668335170897,11.883670169283675,181.2360784979877,mse,19,4,1,0.0,auto,None,None,1e-07,0,48,-1,0.9736358770938428,75000,1,rf
87355.0,8.76605610381567,8.356653298782872,4.23503699073646e-05,3.1168848736028156,6.684162127133756,11.895996855026986,185.50948365148358,mse,19,6,1,0.0,auto,None,None,1e-07,0,48,-1,0.5864053995280882,75000,1,rf
